Date,Close,Stock
9/22/2017,98.6,DIS
9/25/2017,99.57,DIS
9/26/2017,98.63,DIS
9/27/2017,99.24,DIS
9/28/2017,98.05,DIS
9/29/2017,98.57,DIS
10/2/2017,99.86,DIS
10/3/2017,100.79,DIS
10/4/2017,100.55,DIS
10/5/2017,100.11,DIS
10/6/2017,100.07,DIS
10/9/2017,99.57,DIS
10/10/2017,99.58,DIS
10/11/2017,98.55,DIS
10/12/2017,96.93,DIS
10/13/2017,97.38,DIS
10/16/2017,98.13,DIS
10/17/2017,98.36,DIS
10/18/2017,98.25,DIS
10/19/2017,99.01,DIS
10/20/2017,99.4,DIS
10/23/2017,98.7,DIS
10/24/2017,98.29,DIS
10/25/2017,97.8,DIS
10/26/2017,98.56,DIS
10/27/2017,98.31,DIS
10/30/2017,98.04,DIS
10/31/2017,97.81,DIS
11/1/2017,99.03,DIS
11/2/2017,98.35,DIS
11/3/2017,98.64,DIS
11/6/2017,100.64,DIS
11/7/2017,101.61,DIS
11/8/2017,101.18,DIS
11/9/2017,102.68,DIS
11/10/2017,104.78,DIS
11/13/2017,104.74,DIS
11/14/2017,103.17,DIS
11/15/2017,103.69,DIS
11/16/2017,103.6,DIS
11/17/2017,103.44,DIS
11/20/2017,102.75,DIS
11/21/2017,103,DIS
11/22/2017,102.74,DIS
11/24/2017,102.64,DIS
11/27/2017,102.79,DIS
11/28/2017,103.41,DIS
11/29/2017,105.24,DIS
11/30/2017,104.82,DIS
12/1/2017,105.25,DIS
12/4/2017,110.22,DIS
12/5/2017,107.22,DIS
12/6/2017,105.46,DIS
12/7/2017,105.26,DIS
12/8/2017,104.23,DIS
12/11/2017,106.83,DIS
12/12/2017,107.43,DIS
12/13/2017,107.61,DIS
12/14/2017,110.57,DIS
12/15/2017,111.27,DIS
12/18/2017,111.03,DIS
12/19/2017,111.81,DIS
12/20/2017,109.69,DIS
12/21/2017,109.57,DIS
12/22/2017,108.67,DIS
12/26/2017,108.12,DIS
12/27/2017,107.64,DIS
12/28/2017,107.77,DIS
12/29/2017,107.51,DIS
1/2/2018,111.8,DIS
1/3/2018,112.28,DIS
1/4/2018,112.23,DIS
1/5/2018,111.62,DIS
1/8/2018,110.02,DIS
1/9/2018,109.94,DIS
1/10/2018,109.47,DIS
1/11/2018,110.99,DIS
1/12/2018,112.47,DIS
1/16/2018,110.69,DIS
1/17/2018,111.97,DIS
1/18/2018,110.42,DIS
1/19/2018,110.59,DIS
1/22/2018,111.1,DIS
1/23/2018,110.41,DIS
1/24/2018,110.5,DIS
1/25/2018,110.55,DIS
1/26/2018,112.19,DIS
1/29/2018,111.54,DIS
1/30/2018,110.11,DIS
1/31/2018,108.67,DIS
2/1/2018,110.49,DIS
2/2/2018,108.7,DIS
2/5/2018,104.7,DIS
2/6/2018,106.17,DIS
2/7/2018,104.76,DIS
2/8/2018,101.35,DIS
2/9/2018,103.09,DIS
2/12/2018,103.39,DIS
2/13/2018,104.12,DIS
2/14/2018,104.6,DIS
2/15/2018,105.18,DIS
2/16/2018,106.53,DIS
2/20/2018,105.98,DIS
2/21/2018,105.05,DIS
2/22/2018,105.24,DIS
2/23/2018,107.25,DIS
2/26/2018,109.81,DIS
2/27/2018,104.87,DIS
2/28/2018,103.16,DIS
3/1/2018,102.57,DIS
3/2/2018,102.99,DIS
3/5/2018,103.41,DIS
3/6/2018,104.94,DIS
3/7/2018,103.59,DIS
3/8/2018,104.03,DIS
3/9/2018,104.73,DIS
3/12/2018,105.17,DIS
3/13/2018,103.73,DIS
3/14/2018,103.9,DIS
3/15/2018,103.24,DIS
3/16/2018,102.87,DIS
3/19/2018,101.48,DIS
3/20/2018,101.35,DIS
3/21/2018,101.82,DIS
3/22/2018,100.6,DIS
3/23/2018,98.54,DIS
3/26/2018,100.65,DIS
3/27/2018,99.36,DIS
3/28/2018,98.54,DIS
3/29/2018,100.44,DIS
4/2/2018,98.66,DIS
4/3/2018,99.42,DIS
4/4/2018,100.95,DIS
4/5/2018,102.11,DIS
4/6/2018,100.35,DIS
4/9/2018,99.7,DIS
4/10/2018,101.37,DIS
4/11/2018,100.8,DIS
4/12/2018,100.39,DIS
4/13/2018,100.35,DIS
4/16/2018,100.24,DIS
4/17/2018,102.17,DIS
4/18/2018,101.21,DIS
4/19/2018,100.89,DIS
4/20/2018,100.24,DIS
4/23/2018,100.15,DIS
4/24/2018,99.46,DIS
4/25/2018,101.15,DIS
4/26/2018,99.84,DIS
4/27/2018,99.23,DIS
4/30/2018,100.33,DIS
5/1/2018,100.06,DIS
5/2/2018,99.62,DIS
5/3/2018,98.76,DIS
5/4/2018,101.15,DIS
5/7/2018,102.48,DIS
5/8/2018,101.79,DIS
5/9/2018,99.97,DIS
5/10/2018,101.68,DIS
5/11/2018,102.07,DIS
5/14/2018,102.44,DIS
5/15/2018,102.92,DIS
5/16/2018,105.04,DIS
5/17/2018,104.34,DIS
5/18/2018,103.93,DIS
5/21/2018,104.06,DIS
5/22/2018,104.07,DIS
5/23/2018,102.89,DIS
5/24/2018,102.11,DIS
5/25/2018,102.2,DIS
5/29/2018,99.69,DIS
5/30/2018,99.98,DIS
5/31/2018,99.47,DIS
6/1/2018,99.36,DIS
6/4/2018,100.24,DIS
6/5/2018,99.94,DIS
6/6/2018,101.91,DIS
6/7/2018,102.47,DIS
6/8/2018,103.98,DIS
6/11/2018,104.35,DIS
6/12/2018,104.33,DIS
6/13/2018,106.31,DIS
6/14/2018,108.75,DIS
6/15/2018,108.85,DIS
6/18/2018,107.06,DIS
6/19/2018,106.1,DIS
6/20/2018,107.15,DIS
6/21/2018,105.89,DIS
6/22/2018,106.34,DIS
6/25/2018,104.45,DIS
6/26/2018,104.26,DIS
6/27/2018,103.96,DIS
6/28/2018,104.77,DIS
6/29/2018,104.81,DIS
7/2/2018,105.33,DIS
7/3/2018,104.04,DIS
7/5/2018,105.34,DIS
7/6/2018,104.78,DIS
7/9/2018,106.02,DIS
7/10/2018,106.03,DIS
7/11/2018,108.04,DIS
7/12/2018,108.25,DIS
7/13/2018,110,DIS
7/16/2018,110.2,DIS
7/17/2018,110.3,DIS
7/18/2018,110.69,DIS
7/19/2018,112.13,DIS
7/20/2018,111.48,DIS
7/23/2018,111.09,DIS
7/24/2018,110.7,DIS
7/25/2018,111.18,DIS
7/26/2018,113.51,DIS
7/27/2018,112.62,DIS
7/30/2018,112.63,DIS
7/31/2018,113.56,DIS
8/1/2018,112.97,DIS
8/2/2018,112.75,DIS
8/3/2018,114.09,DIS
8/6/2018,115.94,DIS
8/7/2018,116.56,DIS
8/8/2018,113.98,DIS
8/9/2018,114.16,DIS
8/10/2018,112.68,DIS
8/13/2018,112.12,DIS
8/14/2018,112.75,DIS
8/15/2018,112.85,DIS
8/16/2018,112.48,DIS
8/17/2018,112.48,DIS
8/20/2018,111.99,DIS
8/21/2018,112.39,DIS
8/22/2018,111.94,DIS
8/23/2018,112,DIS
8/24/2018,111.93,DIS
8/27/2018,112.33,DIS
8/28/2018,112.58,DIS
8/29/2018,112.45,DIS
8/30/2018,111.92,DIS
8/31/2018,112.02,DIS
9/4/2018,110.85,DIS
9/5/2018,109.87,DIS
9/6/2018,110.26,DIS
9/7/2018,110.97,DIS
