Date,Close,Stock
2/8/2019,42.49,BP
2/11/2019,42.21,BP
2/12/2019,42.42,BP
2/13/2019,42.64,BP
2/14/2019,41.87,BP
2/15/2019,42.29,BP
2/19/2019,42.38,BP
2/20/2019,42.48,BP
2/21/2019,42.29,BP
2/22/2019,42.46,BP
2/25/2019,42.51,BP
2/26/2019,42.52,BP
2/27/2019,42.84,BP
2/28/2019,42.65,BP
3/1/2019,42.58,BP
3/4/2019,42.64,BP
3/5/2019,42.74,BP
3/6/2019,42.7,BP
3/7/2019,42.63,BP
3/8/2019,42.25,BP
3/11/2019,42.33,BP
3/12/2019,42.46,BP
3/13/2019,43.83,BP
3/14/2019,43.95,BP
3/15/2019,43.87,BP
3/18/2019,44.24,BP
3/19/2019,44.47,BP
3/20/2019,44.53,BP
3/21/2019,44.53,BP
3/22/2019,43.95,BP
3/25/2019,43.53,BP
3/26/2019,43.82,BP
3/27/2019,43.59,BP
3/28/2019,43.63,BP
3/29/2019,43.72,BP
4/1/2019,44.09,BP
4/2/2019,44.23,BP
4/3/2019,44.23,BP
4/4/2019,44.15,BP
4/5/2019,44.53,BP
4/8/2019,45.23,BP
4/9/2019,44.99,BP
4/10/2019,45.04,BP
4/11/2019,44.87,BP
4/12/2019,44.67,BP
4/15/2019,44.67,BP
4/16/2019,44.48,BP
4/17/2019,44.62,BP
4/18/2019,44.39,BP
4/22/2019,45.04,BP
4/23/2019,45.02,BP
4/24/2019,44.13,BP
4/25/2019,43.96,BP
4/26/2019,43.31,BP
4/29/2019,43.02,BP
4/30/2019,43.73,BP
5/1/2019,43.08,BP
5/2/2019,42.63,BP
5/3/2019,43.08,BP
5/6/2019,42.93,BP
5/7/2019,42.22,BP
5/8/2019,42.28,BP
5/9/2019,41.65,BP
5/10/2019,41.5,BP
5/13/2019,41.23,BP
5/14/2019,41.55,BP
5/15/2019,41.77,BP
5/16/2019,42.28,BP
5/17/2019,42.34,BP
5/20/2019,42.58,BP
5/21/2019,42.75,BP
5/22/2019,42.34,BP
5/23/2019,41.34,BP
5/24/2019,41.76,BP
5/28/2019,41.48,BP
5/29/2019,41.27,BP
5/30/2019,41.03,BP
5/31/2019,40.72,BP
6/3/2019,41.04,BP
6/4/2019,41.36,BP
6/5/2019,41.04,BP
6/6/2019,41.61,BP
6/7/2019,42.14,BP
6/10/2019,42.08,BP
6/11/2019,42.34,BP
6/12/2019,41.06,BP
6/13/2019,41.22,BP
6/14/2019,40.91,BP
6/17/2019,40.44,BP
6/18/2019,41.08,BP
6/19/2019,41.09,BP
6/20/2019,41.81,BP
6/21/2019,42.45,BP
6/24/2019,42.18,BP
6/25/2019,41.86,BP
6/26/2019,42.08,BP
6/27/2019,41.62,BP
6/28/2019,41.7,BP
7/1/2019,42.08,BP
7/2/2019,41.86,BP
7/3/2019,41.36,BP
7/5/2019,41.03,BP
7/8/2019,41.08,BP
