Date,Close,Stock
3/23/2018,64.63,NKE
3/26/2018,65.9,NKE
3/27/2018,66.17,NKE
3/28/2018,65.44,NKE
3/29/2018,66.44,NKE
4/2/2018,64.12,NKE
4/3/2018,66.7,NKE
4/4/2018,68.42,NKE
4/5/2018,69.59,NKE
4/6/2018,67.55,NKE
4/9/2018,67.18,NKE
4/10/2018,67,NKE
4/11/2018,66.83,NKE
4/12/2018,67.77,NKE
4/13/2018,67.25,NKE
4/16/2018,67.06,NKE
4/17/2018,67.51,NKE
4/18/2018,66.2,NKE
4/19/2018,65.73,NKE
4/20/2018,66.09,NKE
4/23/2018,66.88,NKE
4/24/2018,66.97,NKE
4/25/2018,66.67,NKE
4/26/2018,68.05,NKE
4/27/2018,69.56,NKE
4/30/2018,68.39,NKE
5/1/2018,68.1,NKE
5/2/2018,68.26,NKE
5/3/2018,66.9,NKE
5/4/2018,68.1,NKE
5/7/2018,69.34,NKE
5/8/2018,68.46,NKE
5/9/2018,67.95,NKE
5/10/2018,67.92,NKE
5/11/2018,68.43,NKE
5/14/2018,68.84,NKE
5/15/2018,69.5,NKE
5/16/2018,71.34,NKE
5/17/2018,70.94,NKE
5/18/2018,71.32,NKE
5/21/2018,71.38,NKE
5/22/2018,71.31,NKE
5/23/2018,71.34,NKE
5/24/2018,72.18,NKE
5/25/2018,72.25,NKE
5/29/2018,70.92,NKE
5/30/2018,72.23,NKE
5/31/2018,71.8,NKE
6/1/2018,72.76,NKE
6/4/2018,73.83,NKE
6/5/2018,74.05,NKE
6/6/2018,74.75,NKE
6/7/2018,74.76,NKE
6/8/2018,74.9,NKE
6/11/2018,74.59,NKE
6/12/2018,74.29,NKE
6/13/2018,74.11,NKE
6/14/2018,74.7,NKE
6/15/2018,75.84,NKE
6/18/2018,75.61,NKE
6/19/2018,74.26,NKE
6/20/2018,74.72,NKE
6/21/2018,73.94,NKE
6/22/2018,73.43,NKE
6/25/2018,72.35,NKE
6/26/2018,72.56,NKE
6/27/2018,71.35,NKE
6/28/2018,71.7,NKE
6/29/2018,79.68,NKE
7/2/2018,78.35,NKE
7/3/2018,76.28,NKE
7/5/2018,76.55,NKE
7/6/2018,76.48,NKE
7/9/2018,77.28,NKE
7/10/2018,77.57,NKE
7/11/2018,77.36,NKE
7/12/2018,77.37,NKE
7/13/2018,77.38,NKE
7/16/2018,77.75,NKE
7/17/2018,77.47,NKE
7/18/2018,76.59,NKE
7/19/2018,76.95,NKE
7/20/2018,76.96,NKE
7/23/2018,76.59,NKE
7/24/2018,75.53,NKE
7/25/2018,77.16,NKE
7/26/2018,78.15,NKE
7/27/2018,76.89,NKE
7/30/2018,75.96,NKE
7/31/2018,76.91,NKE
8/1/2018,77.54,NKE
8/2/2018,78.65,NKE
8/3/2018,78.74,NKE
8/6/2018,79.51,NKE
8/7/2018,80.53,NKE
8/8/2018,80.5,NKE
8/9/2018,81.26,NKE
8/10/2018,80.73,NKE
8/13/2018,80.15,NKE
8/14/2018,80.14,NKE
8/15/2018,79.57,NKE
8/16/2018,80.05,NKE
8/17/2018,79.75,NKE
8/20/2018,82.18,NKE
8/21/2018,82.95,NKE
8/22/2018,82.64,NKE
8/23/2018,82.91,NKE
8/24/2018,82.45,NKE
8/27/2018,82.65,NKE
8/28/2018,82.58,NKE
8/29/2018,82.79,NKE
8/30/2018,81.4,NKE
8/31/2018,82.2,NKE
9/4/2018,79.6,NKE
9/5/2018,79.92,NKE
9/6/2018,80.4,NKE
9/7/2018,80.3,NKE
9/10/2018,82.1,NKE
9/11/2018,82.63,NKE
9/12/2018,83,NKE
9/13/2018,83.47,NKE
9/14/2018,83.49,NKE
9/17/2018,83.26,NKE
9/18/2018,85.26,NKE
9/19/2018,84.43,NKE
9/20/2018,85.37,NKE
9/21/2018,85.55,NKE
9/24/2018,84.27,NKE
9/25/2018,84.79,NKE
9/26/2018,83.7,NKE
9/27/2018,84.54,NKE
9/28/2018,84.72,NKE
10/1/2018,84.46,NKE
10/2/2018,82.77,NKE
10/3/2018,82.5,NKE
10/4/2018,80.18,NKE
10/5/2018,80.12,NKE
10/8/2018,80.23,NKE
10/9/2018,80.42,NKE
10/10/2018,74.94,NKE
10/11/2018,74.51,NKE
10/12/2018,75.91,NKE
10/15/2018,74.99,NKE
10/16/2018,77.48,NKE
10/17/2018,76.48,NKE
10/18/2018,75.6,NKE
10/19/2018,74.21,NKE
10/22/2018,74.9,NKE
10/23/2018,73.35,NKE
10/24/2018,72.12,NKE
10/25/2018,73.1,NKE
10/26/2018,72.07,NKE
10/29/2018,72.19,NKE
10/30/2018,74.51,NKE
10/31/2018,75.04,NKE
11/1/2018,76.79,NKE
11/2/2018,76.58,NKE
11/5/2018,77.53,NKE
11/6/2018,76.57,NKE
11/7/2018,77.97,NKE
11/8/2018,77.78,NKE
11/9/2018,76.36,NKE
11/12/2018,75.1,NKE
11/13/2018,75.2,NKE
11/14/2018,75.2,NKE
11/15/2018,74.33,NKE
11/16/2018,74.74,NKE
11/19/2018,72.52,NKE
11/20/2018,71.12,NKE
11/21/2018,72.37,NKE
11/23/2018,71.49,NKE
11/26/2018,72.71,NKE
11/27/2018,72.09,NKE
11/28/2018,74.66,NKE
11/29/2018,74.34,NKE
11/30/2018,75.12,NKE
12/3/2018,77.94,NKE
12/4/2018,75.79,NKE
12/6/2018,75.54,NKE
12/7/2018,73.34,NKE
12/10/2018,72.51,NKE
12/11/2018,73.57,NKE
12/12/2018,74.32,NKE
12/13/2018,72.93,NKE
12/14/2018,72.53,NKE
12/17/2018,69.9,NKE
12/18/2018,71.15,NKE
12/19/2018,68.97,NKE
12/20/2018,67.53,NKE
12/21/2018,72.37,NKE
12/24/2018,68.1,NKE
12/26/2018,73.01,NKE
12/27/2018,73.67,NKE
12/28/2018,73.34,NKE
12/31/2018,74.14,NKE
1/2/2019,74.06,NKE
1/3/2019,72.75,NKE
1/4/2019,74.65,NKE
1/7/2019,75.72,NKE
1/8/2019,76.73,NKE
1/9/2019,76.59,NKE
1/10/2019,76.42,NKE
1/11/2019,76.04,NKE
1/14/2019,76.09,NKE
1/15/2019,77.88,NKE
1/16/2019,77.68,NKE
1/17/2019,79.13,NKE
1/18/2019,80.45,NKE
1/22/2019,80.75,NKE
1/23/2019,80.5,NKE
1/24/2019,80.44,NKE
1/25/2019,80.61,NKE
1/28/2019,80.32,NKE
1/29/2019,80.22,NKE
1/30/2019,81.28,NKE
1/31/2019,81.88,NKE
2/1/2019,81.51,NKE
2/4/2019,81.99,NKE
2/5/2019,82.86,NKE
2/6/2019,82.71,NKE
2/7/2019,82.39,NKE
2/8/2019,82.36,NKE
2/11/2019,83.68,NKE
2/12/2019,84.71,NKE
2/13/2019,85.4,NKE
2/14/2019,84.68,NKE
2/15/2019,85.38,NKE
2/19/2019,84.57,NKE
2/20/2019,84.84,NKE
2/21/2019,83.95,NKE
2/22/2019,84.76,NKE
2/25/2019,85.17,NKE
2/26/2019,85.8,NKE
2/27/2019,86.17,NKE
2/28/2019,85.73,NKE
3/1/2019,87.16,NKE
3/4/2019,85.64,NKE
3/5/2019,85.44,NKE
3/6/2019,85.13,NKE
3/7/2019,85.26,NKE
3/8/2019,84.8,NKE
3/11/2019,85.82,NKE
3/12/2019,85.43,NKE
3/13/2019,85.93,NKE
3/14/2019,86.87,NKE
3/15/2019,86.8,NKE
3/18/2019,87.82,NKE
3/19/2019,87.69,NKE
3/20/2019,86.69,NKE
3/21/2019,88.01,NKE
3/22/2019,82.19,NKE
3/25/2019,82.33,NKE
3/26/2019,83.38,NKE
3/27/2019,83.09,NKE
3/28/2019,84.04,NKE
3/29/2019,84.21,NKE
4/1/2019,85.23,NKE
4/2/2019,84.37,NKE
4/3/2019,84.47,NKE
4/4/2019,85.28,NKE
4/5/2019,85.4,NKE
4/8/2019,84.73,NKE
